utc_time,asset_id,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,z_score,z_anomaly,rolling_mean,rolling_std,rolling_anomaly,anomaly
2025-02-01 08:01:16.526000+00:00,2907,FW02-KT1-FK,Faucet,Kichen,8365,1.0,5.576,1,41.25,1,1.4177912334632718,False,1.0005,1.866308809235109,True,True
2025-02-01 04:47:27.219000+00:00,2657,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,119,1.0,0.079,1,1.5,1,-0.17051156655708694,False,0.008799999999999999,0.02466576574934597,True,True
2025-02-01 09:10:25.776000+00:00,2657,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,193,1.0,0.129,1,1.0,1,-0.15606457001333252,False,0.013800000000000002,0.040477154050175074,True,True
2025-02-01 10:11:25.457000+00:00,2657,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,2347,1.0,1.564,1,10.5,1,0.25856423079241886,False,0.1573,0.49426399828431916,True,True
2025-02-01 10:12:25.457000+00:00,2657,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,13621,0.0,9.081,1,59.75,1,2.4305256911804554,False,1.0669,2.8582855564520178,True,True
2025-02-01 14:27:24.019000+00:00,2657,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,3,0.0,0.002,0,0.0,1,-0.1927599412344687,False,0.0011000000000001777,0.00031622776535605905,True,True
2025-02-01 17:52:22.940000+00:00,2657,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,2055,1.0,1.37,1,9.25,1,0.20250988420265176,False,0.1379000000000002,0.4329158116770506,True,True
2025-02-01 20:27:22.084000+00:00,2657,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,117,0.0,0.078,1,1.0,1,-0.17080050648796202,False,0.008700000000000176,0.024349537983287844,True,True
2025-02-01 20:28:22.084000+00:00,2657,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,759,1.0,0.506,1,3.75,1,-0.04713421607342433,False,0.059200000000000176,0.15884359882881163,True,True
2025-02-01 22:19:21.462000+00:00,2657,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,202,1.0,0.135,1,1.25,1,-0.154330930428082,False,0.01440000000000018,0.04237452064625124,True,True
2025-02-01 07:53:43.155000+00:00,2738,FW09-KT1-W,Laundry,Kitchen - utility room ,2,0.0,0.002,0,0.25,1,-0.1927599412344687,False,0.0011000000000001777,0.0003162277653481386,True,True
2025-02-01 07:56:43.152000+00:00,2738,FW09-KT1-W,Laundry,Kitchen - utility room ,7,0.0,0.004,0,0.5,1,-0.19218206137271854,False,0.0014000000000001776,0.0009660917828603575,True,True
2025-02-01 07:57:43.143000+00:00,2738,FW09-KT1-W,Laundry,Kitchen - utility room ,7,0.0,0.005,0,0.75,1,-0.19189312144184342,False,0.0018000000000001778,0.0014757295746018666,True,True
2025-02-01 08:47:42.838000+00:00,2738,FW09-KT1-W,Laundry,Kitchen - utility room ,7,0.0,0.005,0,0.75,1,-0.19189312144184342,False,0.002200000000000178,0.001751190071420962,True,True
2025-02-01 20:04:38.953000+00:00,2738,FW09-KT1-W,Laundry,Kitchen - utility room ,4,0.0,0.003,0,0.25,1,-0.19247100130359363,False,0.0018000000000001775,0.0007888106374783817,True,True
2025-02-01 21:49:38.331000+00:00,2738,FW09-KT1-W,Laundry,Kitchen - utility room ,8,0.0,0.006,0,0.75,1,-0.19160418151096834,False,0.0024000000000001776,0.0014298407058204283,True,True
2025-02-01 00:56:50.663000+00:00,2759,FW59-KT1-W,Laundry,Washing machine ,3,0.0,0.002,0,0.0,1,-0.1927599412344687,False,0.0011000000000001777,0.00031622776534813733,True,True
2025-02-01 11:12:47.919000+00:00,2759,FW59-KT1-W,Laundry,Washing machine ,2,0.0,0.002,0,0.0,1,-0.1927599412344687,False,0.0011000000000001777,0.00031622776534813733,True,True
