asset_id,utc_time,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,anomaly_iforest
2657,2025-02-01 10:12:25.457000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,13621,0.0,9.081,1,59.75,1,1
2928,2025-02-01 10:13:13.270000+00:00,FW24-KT1-W,Laundry,Kitchen,15176,0.0,10.118,0,60.0,1,1
2928,2025-02-01 12:51:12.551000+00:00,FW24-KT1-W,Laundry,Kitchen,15172,0.0,10.115,0,59.75,1,1
3092,2025-02-01 09:20:51.485000+00:00,FW62-BA-F,Faucet,Bathroom,12435,1.0,8.29,1,46.75,1,1
3092,2025-02-01 09:40:51.383000+00:00,FW62-BA-F,Faucet,Bathroom,11508,1.0,7.672,1,39.5,1,1
2758,2025-02-01 09:52:18.881000+00:00,FW59-BA1-S,Shower,Shower,14147,0.0,9.432,1,60.0,1,1
2758,2025-02-01 09:53:18.832000+00:00,FW59-BA1-S,Shower,Shower,14243,0.0,9.495,1,60.25,1,1
2758,2025-02-01 09:54:18.832000+00:00,FW59-BA1-S,Shower,Shower,14306,0.0,9.537,1,59.75,1,1
2758,2025-02-01 09:55:18.872000+00:00,FW59-BA1-S,Shower,Shower,14037,0.0,9.358,1,60.25,1,1
2130,2025-02-01 10:48:15.917000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,15340,0.0,10.227,0,53.5,1,1
2130,2025-02-01 10:57:15.887000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,13252,1.0,8.834,0,44.0,1,1
2130,2025-02-01 10:58:15.865000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,11908,0.0,7.939,0,41.5,1,1
2130,2025-02-01 11:07:15.818000+00:00,FW42-KT1-W,Laundry,Kitchen - utility room ,12468,1.0,8.312,0,41.75,1,1
2729,2025-02-01 13:49:39.132000+00:00,FW34-KT1-W,Laundry,Kitchen - utility room ,11819,0.0,7.88,0,59.75,1,1
2734,2025-02-01 09:51:17.828000+00:00,FW43-KT1-W,Laundry,Kitchen,11204,0.0,7.47,0,60.25,1,1
2734,2025-02-01 10:19:17.672000+00:00,FW43-KT1-W,Laundry,Kitchen,11321,0.0,7.547,0,60.25,1,1
2812,2025-02-01 16:28:40.217000+00:00,FW65-KT1-W,Laundry,Washing machine ,15206,0.0,10.137,0,51.0,1,1
3031,2025-02-01 08:26:50.961000+00:00,FW67-KT1-W,Laundry,Kitchen,11989,1.0,7.993,0,57.5,1,1
3031,2025-02-01 09:10:50.736000+00:00,FW67-KT1-W,Laundry,Kitchen,12320,0.0,8.213,0,60.0,1,1
3031,2025-02-01 09:16:50.701000+00:00,FW67-KT1-W,Laundry,Kitchen,11575,1.0,7.717,0,55.0,1,1
3031,2025-02-01 09:17:50.701000+00:00,FW67-KT1-W,Laundry,Kitchen,12835,0.0,8.557,0,60.0,1,1
3031,2025-02-01 22:20:46.759000+00:00,FW67-KT1-W,Laundry,Kitchen,11274,0.0,7.516,0,60.25,1,1
2829,2025-02-01 08:43:09.053000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,11667,1.0,7.778,0,59.25,1,1
2829,2025-02-01 08:58:08.991000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,12417,0.0,8.278,0,56.75,1,1
2829,2025-02-01 09:01:08.966000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,12770,1.0,8.513,0,58.5,1,1
2829,2025-02-01 09:07:08.947000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,14135,0.0,9.424,0,60.0,1,1
2829,2025-02-01 09:25:08.873000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,11973,0.0,7.982,0,54.5,1,1
2829,2025-02-01 09:39:08.809000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,13466,0.0,8.977,0,60.0,1,1
2829,2025-02-01 09:48:08.753000+00:00,FW81-KT1-W,Laundry,Kitchen - utility room ,14093,0.0,9.396,0,60.0,1,1
2731,2025-02-01 10:25:11.694000+00:00,FW56-KT-FK,Faucet,Kichen,11620,1.0,7.747,1,56.25,1,1
2731,2025-02-01 11:36:11.293000+00:00,FW56-KT-FK,Faucet,Kichen,12581,0.0,8.388,1,60.0,1,1
2731,2025-02-01 13:32:10.713000+00:00,FW56-KT-FK,Faucet,Kichen,11572,0.0,7.715,1,60.0,1,1
2731,2025-02-01 14:32:10.333000+00:00,FW56-KT-FK,Faucet,Kichen,11316,0.0,7.544,1,58.0,1,1
2731,2025-02-01 15:01:10.188000+00:00,FW56-KT-FK,Faucet,Kichen,11447,0.0,7.631,1,60.0,1,1
2135,2025-02-01 09:56:14.493000+00:00,FW26-BA1-T,WC,Bathroom 1st floor ,14578,1.0,9.718,0,47.25,1,1
3121,2025-02-01 13:26:22.557000+00:00,FW49-KT-WM,Laundry,Kitchen,11617,0.0,7.745,0,60.25,1,1
2252,2025-02-01 08:46:36.141000+00:00,FW05-KT1-W,Laundry,Utility room ,12118,1.0,8.078,0,49.75,1,1
2816,2025-02-01 08:21:43.979000+00:00,FW35-KT1-FK,Faucet,Kitchen sink,12058,0.0,8.039,1,60.25,1,1
2103,2025-02-01 20:44:44.096000+00:00,FW46-BA3-T,WC,Bathroom - ground floor,13520,1.0,9.013,0,100.5,1,1
3484,2025-02-01 15:14:56.757000+00:00,FW46-KT-W2,Laundry,Kitchen,11486,0.0,7.657,0,60.0,1,1
3484,2025-02-01 20:25:55.181000+00:00,FW46-KT-W2,Laundry,Kitchen,12409,0.0,8.273,0,60.25,1,1
3484,2025-02-01 20:30:55.170000+00:00,FW46-KT-W2,Laundry,Kitchen,13191,0.0,8.794,0,60.0,1,1
2723,2025-02-01 14:53:49.308000+00:00,FW53-KT1-W,Laundry,Kitchen ,11136,0.0,7.424,0,59.75,1,1
3188,2025-02-01 12:08:20.080000+00:00,FW70-KT-WM,Laundry,Kitchen,12307,0.0,8.205,0,54.5,1,1
3188,2025-02-01 13:29:19.716000+00:00,FW70-KT-WM,Laundry,Kitchen,13742,0.0,9.162,0,60.25,1,1
2109,2025-02-01 09:43:31.631000+00:00,FW63-KT1-W,Laundry,Kitchen - utility room ,13849,1.0,9.233,0,56.25,1,1
2109,2025-02-01 09:44:31.631000+00:00,FW63-KT1-W,Laundry,Kitchen - utility room ,11780,0.0,7.853,0,49.0,1,1
2109,2025-02-01 11:10:31.117000+00:00,FW63-KT1-W,Laundry,Kitchen - utility room ,13665,1.0,9.11,0,55.5,1,1
2109,2025-02-01 11:11:31.097000+00:00,FW63-KT1-W,Laundry,Kitchen - utility room ,13344,0.0,8.896,0,55.75,1,1
2736,2025-02-01 10:42:39.523000+00:00,FW43-KT1-FK,Faucet,Kitchen ,11859,0.0,7.906,1,60.0,1,1
2736,2025-02-01 13:09:39.014000+00:00,FW43-KT1-FK,Faucet,Kitchen ,11873,0.0,7.916,1,60.25,1,1
2736,2025-02-01 14:34:38.720000+00:00,FW43-KT1-FK,Faucet,Kitchen ,12189,0.0,8.126,1,60.0,1,1
2736,2025-02-01 17:28:38.116000+00:00,FW43-KT1-FK,Faucet,Kitchen ,12146,0.0,8.097,1,60.0,1,1
2736,2025-02-01 17:29:38.111000+00:00,FW43-KT1-FK,Faucet,Kitchen ,11927,0.0,7.952,1,60.25,1,1
2097,2025-02-01 14:02:07.382000+00:00,FW46-BA1-F,Faucet,Bathroom 1st floor - main,11282,3.0,7.521,1,86.5,1,1
2097,2025-02-01 16:10:06.692000+00:00,FW46-BA1-F,Faucet,Bathroom 1st floor - main,13690,1.0,9.126,1,90.25,1,1
2101,2025-02-01 12:53:35.042000+00:00,FW46-KT1-FK,Faucet,Kitchen,113015,41.0,75.343,1,713.5,1,1
2101,2025-02-01 13:41:27.490000+00:00,FW46-KT1-FK,Faucet,Kitchen,26461,12.0,17.641,0,151.0,1,1
2101,2025-02-01 18:17:18.555000+00:00,FW46-KT1-FK,Faucet,Kitchen,104494,10.0,69.663,1,505.25,1,1
2101,2025-02-01 18:33:18.460000+00:00,FW46-KT1-FK,Faucet,Kitchen,21532,9.0,14.354,0,103.5,1,1
2101,2025-02-01 21:26:17.472000+00:00,FW46-KT1-FK,Faucet,Kitchen,13796,0.0,9.197,1,60.0,1,1
2157,2025-02-02 12:01:24.852000+00:00,FW41-KT1-W,Laundry,Utility room,16013,0.0,10.675,0,60.0,1,1
2157,2025-02-02 12:15:24.799000+00:00,FW41-KT1-W,Laundry,Utility room,16098,0.0,10.732,0,60.0,1,1
2157,2025-02-02 12:24:24.742000+00:00,FW41-KT1-W,Laundry,Utility room,11534,1.0,7.689,0,42.25,1,1
2816,2025-02-02 12:22:35.529000+00:00,FW35-KT1-FK,Faucet,Kitchen sink,12192,0.0,8.128,1,60.0,1,1
2816,2025-02-02 19:45:33.341000+00:00,FW35-KT1-FK,Faucet,Kitchen sink,14623,0.0,9.748,1,58.0,1,1
3120,2025-02-02 13:59:47.322000+00:00,FW72-KT-FK,Faucet,Kitchen,12037,0.0,8.025,1,55.75,1,1
3092,2025-02-02 09:11:45.079000+00:00,FW62-BA-F,Faucet,Bathroom,13371,1.0,8.914,1,42.25,1,1
3092,2025-02-02 09:12:45.071000+00:00,FW62-BA-F,Faucet,Bathroom,17223,0.0,11.482,1,55.5,1,1
2731,2025-02-02 10:22:03.861000+00:00,FW56-KT-FK,Faucet,Kichen,12180,0.0,8.12,1,60.25,1,1
2731,2025-02-02 14:24:02.523000+00:00,FW56-KT-FK,Faucet,Kichen,12343,0.0,8.229,1,60.0,1,1
2101,2025-02-02 09:35:12.875000+00:00,FW46-KT1-FK,Faucet,Kitchen,17798,4.0,11.865,1,94.25,1,1
2101,2025-02-02 15:35:17.899000+00:00,FW46-KT1-FK,Faucet,Kitchen,20153,4.0,13.435,1,109.75,1,1
2101,2025-02-02 16:59:10.141000+00:00,FW46-KT1-FK,Faucet,Kitchen,28827,12.0,19.218,1,168.25,1,1
