asset_id,utc_time,asset_name,asset_type,asset_space,stepIndex_delta,cycleIndex_delta,flowQuantity_delta,stream_temperature,flowTimeIndex_delta,msgcount,reconstruction_error,anomaly_autoencoder
2907,2025-02-01 07:25:16.673000+00:00,FW02-KT1-FK,Faucet,Kichen,750,1.0,0.5,0,6.25,1,1.522053186665953e-08,False
2907,2025-02-01 07:26:16.673000+00:00,FW02-KT1-FK,Faucet,Kichen,189,0.0,0.126,0,1.75,1,1.945955944414942e-08,False
2907,2025-02-01 07:28:16.657000+00:00,FW02-KT1-FK,Faucet,Kichen,398,1.0,0.265,0,3.75,1,1.782453098185577e-08,False
2907,2025-02-01 07:33:16.615000+00:00,FW02-KT1-FK,Faucet,Kichen,1312,2.0,0.875,0,5.25,1,1.1492043153926334e-08,False
2907,2025-02-01 07:37:16.606000+00:00,FW02-KT1-FK,Faucet,Kichen,403,1.0,0.268,1,3.75,1,1.778909688669859e-08,False
2907,2025-02-01 07:38:16.606000+00:00,FW02-KT1-FK,Faucet,Kichen,66,0.0,0.044,1,0.75,1,2.045944886023348e-08,False
2907,2025-02-01 08:00:16.497000+00:00,FW02-KT1-FK,Faucet,Kichen,524,1.0,0.35,1,4.5,1,1.685903747133046e-08,False
2907,2025-02-01 08:01:16.526000+00:00,FW02-KT1-FK,Faucet,Kichen,8365,1.0,5.576,1,41.25,1,9.121723063639393e-09,False
2907,2025-02-01 08:02:16.526000+00:00,FW02-KT1-FK,Faucet,Kichen,6262,1.0,4.175,1,31.5,1,1.2313362748549494e-09,False
2907,2025-02-01 08:02:16.526000+00:00,FW02-KT1-FK,Faucet,Kichen,893,1.0,0.595,0,3.0,1,1.4226866180326124e-08,False
2907,2025-02-01 08:06:16.457000+00:00,FW02-KT1-FK,Faucet,Kichen,1152,2.0,0.768,1,10.25,1,1.2503013096485748e-08,False
2907,2025-02-01 10:54:15.610000+00:00,FW02-KT1-FK,Faucet,Kichen,859,2.0,0.573,0,4.0,1,1.4454331134175026e-08,False
2907,2025-02-01 12:15:15.188000+00:00,FW02-KT1-FK,Faucet,Kichen,173,1.0,0.115,1,3.0,1,1.959292298736915e-08,False
2907,2025-02-01 13:49:14.719000+00:00,FW02-KT1-FK,Faucet,Kichen,2246,1.0,1.497,0,8.0,1,6.461238941215047e-09,False
2907,2025-02-01 15:46:14.115000+00:00,FW02-KT1-FK,Faucet,Kichen,1324,1.0,0.883,0,4.75,1,1.1418912816878688e-08,False
2907,2025-02-01 16:53:13.776000+00:00,FW02-KT1-FK,Faucet,Kichen,237,1.0,0.158,0,2.5,1,1.9076567827661476e-08,False
2907,2025-02-01 16:56:13.756000+00:00,FW02-KT1-FK,Faucet,Kichen,1346,1.0,0.897,0,20.75,1,1.1289517226229802e-08,False
2907,2025-02-01 17:01:13.733000+00:00,FW02-KT1-FK,Faucet,Kichen,766,1.0,0.511,0,2.5,1,1.5103929995437796e-08,False
2657,2025-02-01 00:00:28.737000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:02:28.731000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
2657,2025-02-01 00:03:28.724000+00:00,FW04-BA1-Fb,Faucet,Bathroom 1st floor - main,1,0.0,0.001,0,0.0,1,2.099245012543438e-08,False
