latent_dim,learning_rate,batch_size,num_epochs,final_loss,threshold,num_anomalies,fraction_anomalies,mean_error
4,0.001,64,30,5.970936529993545e-08,5.602999841869405e-09,1445,0.009997578441208011,3.4431642e-09
4,0.001,128,30,7.126301656861303e-08,2.0204946293844755e-09,1446,0.010004497180613692,1.8292986e-09
4,0.0005,64,30,3.346146147451639e-08,8.557604509462638e-09,1446,0.010004497180613692,1.07029265e-08
4,0.0005,128,30,5.88208960735169e-08,3.7589185453157435e-08,1446,0.010004497180613692,2.669214e-08
8,0.001,64,30,1.1190898238744408e-07,8.136976248351857e-08,1445,0.009997578441208011,2.0558524e-07
8,0.001,128,30,1.9419088955807728e-07,1.2574852270574866e-09,800,0.005534991524544228,9.3135135e-08
8,0.0005,64,30,4.261167184527515e-08,1.4148750226983253e-10,297,0.0020548656034870445,6.33405e-09
8,0.0005,128,30,1.8503611547690835e-08,4.293668354193869e-08,34,0.0002352371397931297,4.1895685e-08
16,0.001,64,30,1.513611048476259e-07,2.6952327978335694e-08,1446,0.010004497180613692,9.373137e-08
16,0.001,128,30,1.3208099382459735e-07,7.258737014237404e-12,1350,0.009340298197668385,6.339984e-08
16,0.0005,64,30,5.225770404482263e-08,2.007404464876572e-09,318,0.0022001591310063305,3.9961927e-09
16,0.0005,128,30,2.8390377146825795e-08,6.091047666245686e-10,1445,0.009997578441208011,1.0344664e-07
