n_estimators,contamination,max_samples,num_anomalies,fraction_anomalies,mean_anomaly_score
50,0.005,auto,717,0.004960736153872765,-0.028957068392164893
50,0.005,0.5,723,0.005002248590306846,-0.062043598848764016
50,0.005,0.75,723,0.005002248590306846,-0.05707339657952751
50,0.01,auto,1382,0.009561697858650154,-0.05499675127103982
50,0.01,0.5,1446,0.010004497180613692,-0.04152345645602328
50,0.01,0.75,1445,0.009997578441208011,-0.03624721752673595
50,0.02,auto,2840,0.019649219912132008,-0.06406548979976694
50,0.02,0.5,2890,0.019995156882416022,-0.0370784628958288
50,0.02,0.75,2890,0.019995156882416022,-0.026721758527477782
100,0.005,auto,721,0.0049884111114954855,-0.03125861050902524
100,0.005,0.5,723,0.005002248590306846,-0.06245837128371907
100,0.005,0.75,723,0.005002248590306846,-0.060515042603470875
100,0.01,auto,1440,0.00996298474417961,-0.047108705283269756
100,0.01,0.5,1445,0.009997578441208011,-0.04119222378698812
100,0.01,0.75,1446,0.010004497180613692,-0.03816515196646842
100,0.02,auto,2867,0.019836025876085378,-0.05906212679898989
100,0.02,0.5,2891,0.020002075621821703,-0.03575798054540298
100,0.02,0.75,2891,0.020002075621821703,-0.0295142120796139
200,0.005,auto,721,0.0049884111114954855,-0.03259611134913641
200,0.005,0.5,723,0.005002248590306846,-0.06407261254259053
200,0.005,0.75,723,0.005002248590306846,-0.061309995662592175
200,0.01,auto,1440,0.00996298474417961,-0.047300250918582885
200,0.01,0.5,1446,0.010004497180613692,-0.044074562912361365
200,0.01,0.75,1446,0.010004497180613692,-0.038419793351969385
200,0.02,auto,2887,0.019974400664198984,-0.05412144489852811
200,0.02,0.5,2891,0.020002075621821703,-0.035426279458146
200,0.02,0.75,2891,0.020002075621821703,-0.030765779624143563
